Artistname;RecordTitle;RecordType;Year;SongTitle
A Flock Of Seagulls;A Flock Of Seagulls;LP;1982;Messages
A Flock Of Seagulls;A Flock Of Seagulls;LP;1982;Man Made
A Flock Of Seagulls;A Flock Of Seagulls;LP;1982;Tokyo
A Flock Of Seagulls;A Flock Of Seagulls;LP;1982;D.N.A.
A Flock Of Seagulls;A Flock Of Seagulls;LP;1982;Don't Ask Me
A Flock Of Seagulls;A Flock Of Seagulls;LP;1982;Standing In The Doorway
A Flock Of Seagulls;A Flock Of Seagulls;LP;1982;Telecommunication
A Flock Of Seagulls;A Flock Of Seagulls;LP;1982;You Can Run
A Flock Of Seagulls;A Flock Of Seagulls;LP;1982;Space Age Love Song
A Flock Of Seagulls;A Flock Of Seagulls;LP;1982;I Ran
A Flock Of Seagulls;A Flock Of Seagulls;LP;1982;Modern Love Is Automatic
A Flock Of Seagulls;"I Ran (7"")";Single;1982;Pick Me Up
A Flock Of Seagulls;"I Ran (7"")";Single;1982;I Ran
A Flock Of Seagulls;Listen;LP;1983;Nightmares
A Flock Of Seagulls;Listen;LP;1983;Traveller
A Flock Of Seagulls;Listen;LP;1983;What Am I Supposed To Do
A Flock Of Seagulls;Listen;LP;1983;Electrics
A Flock Of Seagulls;Listen;LP;1983;0,104166667
A Flock Of Seagulls;Listen;LP;1983;Over The Border
A Flock Of Seagulls;Listen;LP;1983;Wishing (If I Had a Photograph Of You)
A Flock Of Seagulls;Listen;LP;1983;(It's Not Me) Talking
A Flock Of Seagulls;Listen;LP;1983;Transfer Affection
A Flock Of Seagulls;Listen;LP;1983;Fall
A Flock Of Seagulls;Live;CD;0;I Ran
A Flock Of Seagulls;Live;CD;0;You Can Run
A Flock Of Seagulls;Live;CD;0;Man Made
A Flock Of Seagulls;Live;CD;0;It's Not Me Talking
A Flock Of Seagulls;Live;CD;0;Modern Love Is Automatic
A Flock Of Seagulls;Live;CD;0;Telecommunication
A Flock Of Seagulls;Live;CD;0;DNA
A Flock Of Seagulls;Live;CD;0;Space Age Love Song
A Flock Of Seagulls;Live;CD;0;Commited
A Flock Of Seagulls;Live;CD;0;Pick Me Up
A Flock Of Seagulls;Live;CD;0;Standing In The Doorway
A Flock Of Seagulls;Live;CD;0;Messages
A Flock Of Seagulls;"Talking (12"")";EP;1983;Factory Music
A Flock Of Seagulls;"Talking (12"")";EP;1983;Talking (Instrumental)
A Flock Of Seagulls;"Talking (12"")";EP;1983;Talking (Remix)
A Flock Of Seagulls;The Story Of A Young Heart;LP;1984;Story Of A Young Heart
A Flock Of Seagulls;The Story Of A Young Heart;LP;1984;End
A Flock Of Seagulls;The Story Of A Young Heart;LP;1984;Never Again (The Dancer)
A Flock Of Seagulls;The Story Of A Young Heart;LP;1984;Heart Of Steel
A Flock Of Seagulls;The Story Of A Young Heart;LP;1984;Over My Head
A Flock Of Seagulls;The Story Of A Young Heart;LP;1984;Remember David
A Flock Of Seagulls;The Story Of A Young Heart;LP;1984;European (I Wish I Was)
A Flock Of Seagulls;The Story Of A Young Heart;LP;1984;More You Live, The More You Love
A Flock Of Seagulls;The Story Of A Young Heart;LP;1984;Suicide Day
A Flock Of Seagulls;"Wishing (7"")";Single;1982;Wishing
A Flock Of Seagulls;"Wishing (7"")";Single;1982;Committed
A-House;I Am The Greatest;LP;1991;You're Too Young
A-House;I Am The Greatest;LP;1991;I Am The Greatest
A-House;I Am The Greatest;LP;1991;Live Life Dead Die
A-House;I Am The Greatest;LP;1991;I Lied
A-House;I Am The Greatest;LP;1991;Slipping Away
A-House;I Am The Greatest;LP;1991;Take It Easy On Me
